South Carolina Gamecocks,270,Aric Holman\aric-holman-1,35,JR,F,6-10,195,Owensboro KY,Owensboro HS,10.9,6.7,0.8
South Carolina Gamecocks,270,Nick Weatherspoon\nick-weatherspoon-2,0,FR,G,6-2,195,Canton MS,Velma Jackson Magnet High School,10.8,2.9,2.1
South Carolina Gamecocks,270,Tyson Carter\tyson-carter-1,23,SO,G,6-4,167,Starkville MS,Starkville High School,8.9,1.8,1.2
South Carolina Gamecocks,270,Lamar Peters\lamar-peters-1,1,SO,G,6-0,188,New Orleans LA,L.B. Landry High School,9.6,2.2,4.5
South Carolina Gamecocks,270,Abdul Ado\abdul-ado-1,24,FR,F,6-11,246,Chattanooga TN,Hamilton Heights Christian Academy,7.8,6.4,0.4
South Carolina Gamecocks,270,Xavian Stapleton\xavian-stapleton-1,3,JR,G,6-6,190,Flora MS,Madison Central,6.4,2.6,0.5
South Carolina Gamecocks,270,Eli Wright\eli-wright-1,2,SO,G,6-4,203,Owensboro KY,Apollo High School,3,2.2,0.9
South Carolina Gamecocks,270,E.J. Datcher\ej-datcher-1,45,SO,C,6-9,240,Vincent AL,Vincent High School,2.2,1.7,0.1
South Carolina Gamecocks,270,KeyShawn Feazell\keyshawn-feazell-1,22,FR,F,6-8,230,Newhebron MS,Lawrence County High School,1.4,1.3,0
South Carolina Gamecocks,270,Nick Singleton\nick-singleton-1,13,JR,G,6-5,195,Decatur GA,Columbia High School,2.4,0.6,0.1
South Carolina Gamecocks,270,Schnider Herard\schnider-herard-1,34,SO,C,6-10,250,Plano TX,Prestonwood Christian Academy,1,2.1,0
South Carolina Gamecocks,270,Drew Davis\drew-davis-2,12,SR,G,5-10,172,Atlanta GA,Fort Walton Beach High School,0.4,0.3,0.3
South Carolina Gamecocks,270,T.J. Gray\tj-gray-2,15,SO,G,5-9,160,Columbus MS,Columbus High School,0.6,0.2,0
South Carolina Gamecocks,270,Tate Clayton\tate-clayton-1,10,FR,G,6-2,170,Tupelo MS,Tupelo High School,0,0,0
South Carolina Gamecocks,270,Mitchell Storm\mitchell-storm-1,5,SO,F,6-7,202,Madison MS,Madison Central High School,0,0.8,0
Tennessee Volunteers,296,Grant Williams\grant-williams-1,2,SO,F,6-5,234,Charlotte NC,Providence Day School,15.2,6,1.9
Tennessee Volunteers,296,Admiral Schofield\admiral-schofield-1,5,JR,F,6-5,240,Zion IL,Zion-Benton TownshiP HS,13.9,6.4,1.5
Tennessee Volunteers,296,Lamonte Turner\lamonte-turner-1,1,SO,G,6-1,190,Florence AL,Arlington Country Day School,10.9,3.2,2.2
Tennessee Volunteers,296,Jordan Bowden\jordan-bowden-1,23,SO,G,6-3,180,Knoxville TN,22f Basketball Academy,9.1,3.6,1.9
Tennessee Volunteers,296,Jordan Bone\jordan-bone-1,0,SO,G,6-1,173,Nashville TN,The Ensworth School,7.3,2.1,3.5
Tennessee Volunteers,296,James Daniel\james-daniel-1,3,SR,G,5-10,165,Hampton VA,Phoebus HS,5.6,1.4,2.8
Tennessee Volunteers,296,Kyle Alexander\kyle-alexander-1,11,JR,F,6-9,215,Canada,ACTS Athlete Institute,5.6,5.6,0.3
Tennessee Volunteers,296,Derrick Walker\derrick-walker-1,15,FR,F,6-8,238,Kansas City MO,Raytown Senior High School,1.9,2.2,0.3
Tennessee Volunteers,296,Chris Darrington\chris-darrington-1,32,JR,G,6-1,179,Toledo OH,Scott High School,2.6,0.6,0.8
Tennessee Volunteers,296,John Fulkerson\john-fulkerson-1,10,FR,F,6-7,203,Kingsport TN,Briarcrest Christian School,1.7,1.6,0.5
Tennessee Volunteers,296,Yves Pons\yves-pons-1,35,FR,F,6-5,203,France,INSEP Academy,0.7,0.6,0.2
Tennessee Volunteers,296,Jalen Johnson\jalen-johnson-1,13,FR,G,6-5,177,Durham NC,Wesleyan Christian Academy,1.2,0.8,0.4
Tennessee Volunteers,296,Zach Kent\zach-kent-1,33,FR,F,6-10,224,Magnolia DE,Blair Academy,2,1.5,0
Tennessee Volunteers,296,Lucas Campbell\lucas-campbell-1,24,JR,G,6-3,180,Knoxville TN,Christian Academy of Knoxville,1.5,0.5,1
Tennessee Volunteers,296,Jacob Fleschman\jacob-fleschman-1,4,FR,G,6-1,160,Austin TX,Westlake High School,0,0,0
Tennessee Volunteers,296,Brad Woodson\brad-woodson-1,12,JR,G,6-1,180,Murfreesboro TN,Riverdale HS,0,0,0
